名称,地址,快充数量,慢充数量,支付方式,充电费,服务费,停车费,开放时间,链接,location,district,lng_wgs,lat_wgs
特来电上海中铁二十四局充电站,上海市市辖区杨浦区邯郸路8号中国钢铁交易大厦,0,18,充电吧APP,"00:00~06:00:0.45,06:00~08:00:0.814,08:00~11:00:1.267,11:00~18:00:0.814,18:00~21:00:1.267,21:00~22:00:0.814,22:00~24:00:0.45
","00:00~06:00:0.8000,06:00~08:00:0.8000,08:00~11:00:0.8000,11:00~18:00:0.8000,18:00~21:00:0.8000,21:00~22:00:0.8000,22:00~24:00:0.8000",10元/小时（收费标准仅供参考，以现场实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=4494,"121.490475,31.293861",杨浦区,121.48600408744217,31.295823939299357
特来电上海五角场万达充电站,上海市市辖区杨浦区国宾路36号B2,0,22,充电吧APP,00:00~24:00:1.25,00:00~24:00:0.8000,10元/小时（仅供参考，以场地实际费用为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=6056,"121.513286,31.300720",杨浦区,121.50889655727762,31.30274837987248
特来电上海曹安景林苑充电站,上海市市辖区嘉定区嘉定曹安公路4908号,0,2,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=7058,"121.204744,31.288029",嘉定区,121.20027733897871,31.289990880002073
特来电上海通利大厦充电站,上海市市辖区静安区南京西路969号,2,12,充电吧APP,00:00~24:00:1.1,00:00~24:00:0.8000,15元/小时（仅供参考，以场地实际费用为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=9550,"121.458940,31.229367",静安区,121.45437215735011,31.231272208211045
特来电上海惠民停车场充电站,上海市市辖区浦东新区浦东新区华洲南路18号,1,3,充电吧APP,00:00~24:00:1.1,00:00~24:00:0.8000,5元/小时，每天20元（仅供参考，以场地实际费用为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=9645,"121.774793,31.185226",浦东新区,121.77044160314125,31.187273988156647
特来电上海马桥万科城充电站,上海市市辖区闵行区银春路2200弄,2,4,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,6元/小时（仅供参考，以现场实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=17551,"121.295741,31.203463",闵行区,121.29126936906933,31.205460593737566
特来电上海欧亚美马陆店充电站,上海市市辖区嘉定区宝安公路3690号,2,0,充电吧APP,00:00~24:00:1.35,00:00~24:00:0.8000,5元/小时（仅供参考，以现场实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=18127,"121.269900,31.327244",嘉定区,121.26545500697951,31.32921874606895
特来电上海嘉定西云楼充电站,上海市市辖区嘉定区洪德路与裕民南路西地块商业地库停车位,1,3,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=21568,"121.260826,31.357828",嘉定区,121.25638551917099,31.359797520788547
特来电上海禹洲蓝爵充电站,上海市市辖区浦东新区金港路199弄6号,3,0,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,4元/时（仅供参考，以场地实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=21947,"121.610496,31.257298",浦东新区,121.60629112257624,31.259484893390855
特来电上海梅赛德斯奔驰文化中心充电站,上海市市辖区浦东新区世博大道1200号,6,0,充电吧APP,00:00~24:00:1.2,00:00~24:00:0.8000,10元/时（仅供参考，以场地方实际收费为准）,开放时间：周一至周日09:00-22:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=23167,"121.493166,31.188482",浦东新区,121.48871369683168,31.190500487046748
